 Acompanhamento dos dados de Hanseníase - BRASIL
Frequência por Ano Diagnóstico e Mes Diagnóstico
Período:2001-2020
"Ano Diagnóstico";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"<1975";28;9;12;14;14;17;17;14;13;24;21;22;205
"1975";-;1;-;-;-;-;-;-;-;-;-;1;2
"1976";-;-;-;2;1;2;-;-;2;-;1;-;8
"1977";2;-;-;1;-;-;-;-;-;1;1;-;5
"1978";-;-;-;-;-;2;1;2;-;1;-;-;6
"1979";2;1;1;-;-;1;3;3;2;3;-;-;16
"1980";2;-;3;2;-;1;-;1;2;1;2;-;14
"1981";2;2;1;1;1;2;-;-;1;3;-;-;13
"1982";2;-;-;1;2;1;-;-;-;1;-;1;8
"1983";4;-;4;-;1;-;-;2;2;1;1;2;17
"1984";-;3;1;2;-;2;2;1;-;2;-;-;13
"1985";1;-;2;1;-;1;-;1;1;-;-;2;9
"1986";-;-;1;1;1;-;2;2;1;1;2;-;11
"1987";1;-;-;1;1;-;5;1;3;1;2;1;16
"1988";3;-;-;1;-;5;4;3;2;4;3;2;27
"1989";1;3;2;2;-;4;2;3;1;7;1;2;28
"1990";7;-;5;-;2;2;1;5;1;2;2;5;32
"1991";3;3;4;3;4;3;4;4;1;3;3;3;38
"1992";8;4;6;1;7;3;3;2;4;7;6;2;53
"1993";2;6;6;1;4;3;7;3;5;6;3;5;51
"1994";8;3;4;4;5;7;5;2;10;10;7;2;67
"1995";13;2;5;4;9;9;11;7;10;2;11;8;91
"1996";8;13;17;28;12;20;14;13;12;20;10;12;179
"1997";20;15;13;14;17;21;24;15;28;18;25;18;228
"1998";34;19;24;26;36;23;27;23;31;40;22;22;327
"1999";56;35;51;49;79;58;59;74;73;88;60;76;758
"2000";189;188;148;124;143;177;141;228;218;306;370;610;2842
"2001";4107;4103;4787;4135;4724;3940;4116;4891;4035;4728;4197;3250;51013
"2002";3982;4065;4566;5027;4663;4490;4971;5282;4805;5151;4679;3545;55226
"2003";4127;5919;5555;4965;5013;4476;4655;4844;5249;5257;4738;3874;58672
"2004";4168;4169;5612;4557;5440;5299;4975;5640;4825;4233;4520;3925;57363
"2005";4078;4241;4999;4628;4706;4559;4154;5457;4853;5196;5008;4209;56088
"2006";4448;4520;5168;3865;4488;3868;3937;4868;4012;4289;4206;3399;51068
"2007";3999;3747;4708;3740;4161;3621;3959;4482;3810;4456;3850;3234;47767
"2008";3712;3644;3781;4246;3635;3938;4498;4772;4472;4059;3716;3052;47525
"2009";3490;3875;4584;3625;3786;3562;3813;4070;3775;3598;3750;2950;44878
"2010";3199;3341;4254;3548;3970;3333;3370;3947;3521;3490;3605;2928;42506
"2011";3089;3960;3695;3258;3844;3387;3072;3914;3495;3292;3500;2886;41392
"2012";3179;3611;4209;3561;3951;3242;3312;3699;3178;3348;2992;2367;40649
"2013";2866;2744;3068;3544;3319;3011;3198;3556;3486;3467;3164;2670;38093
"2014";3113;3480;2903;3186;3387;2770;3218;3440;3655;3526;3099;2647;38424
"2015";2730;2971;3475;2930;3017;2971;3020;3244;3244;3078;2819;2414;35913
"2016";2395;2543;3001;2704;2619;2957;2605;3116;2881;2649;2529;2214;32213
"2017";2588;2724;3163;2556;3243;2806;2743;3290;2857;3273;2965;2446;34654
"2018";2978;2879;3280;3164;3233;2921;2981;3644;3278;3429;2914;2276;36977
"2019";3144;3349;2842;3071;3099;2633;2939;3224;3211;3322;2993;2367;36194
"2020";2873;2684;2299;1174;1175;1349;1654;1517;1806;1595;1086;266;19478
"Total";68661;72876;80259;71767;75812;69497;71522;81306;74871;75988;70883;57715;871157
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos casos não residentes no Brasil.
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular os dados de hanseníase pode ser acessado o Caderno de Análise, pelo link:http://portalsinan.saude.gov.br/hanseniase.
 Os bancos de dados de 2001 a 2020 são bancos brutos, não receberam nenhum tratamento, nem foram consolidados, por tanto os dados aqui disponíveis podem apresentar diferenças em relação aos boletins epidemiológicos e outras publicações de hanseníase.
 Dados do ano de 2020, do estado do Espírito Santo, não disponíveis.
 As bases de dados de 2018 a 2020 ainda podem receber atualizações na notificação de casos.
 *Dados disponibilizados no TABNET em 01/2021
 
