MENINGITE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Região de notificação e Ano 1º Sintoma(s)
Período:2007-2020
"Região de notificação";"<1975";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"1 Região Norte";6;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;2;-;-;2;1;19;890;987;940;701;730;723;770;739;847;793;890;842;757;251;10896
"2 Região Nordeste";18;-;1;1;-;-;1;1;2;1;-;2;1;2;-;1;-;1;1;-;-;2;3;1;-;7;5;2;6;6;6;54;6941;5935;5169;4025;4274;4578;3675;2868;2569;2113;2343;2301;2423;686;50025
"3 Região Sudeste";30;-;2;2;3;1;-;2;3;-;2;1;1;-;2;4;-;-;-;-;-;3;2;1;1;4;10;7;3;6;6;257;14180;11753;10725;11022;10955;12184;10355;9986;8232;8828;8954;10063;8358;2292;138240
"4 Região Sul";18;1;-;-;-;1;1;-;-;-;-;-;2;1;-;-;1;1;1;-;1;-;1;1;-;2;2;3;2;8;4;115;6672;4504;4140;3779;3850;3283;3556;3300;3623;3125;4080;3739;3770;962;52549
"5 Região Centro-Oeste";6;-;2;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;24;1266;1163;1111;1009;992;1039;912;810;816;806;750;621;673;220;12227
"Total";78;1;5;4;3;3;3;4;5;1;2;4;4;4;2;5;1;2;2;1;2;5;6;5;1;14;19;12;11;22;19;469;29949;24342;22085;20536;20801;21807;19268;17703;16087;15665;17017;17566;15981;4411;263937
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
  Excluídos casos não residentes no Brasil.
  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos no
  Para cálculo da incidência utilize locais de residência.
  Dados de 2007 atualizados em 02/07/2012.
  Dados de 2008 atualizados em 02/07/2012.
  Dados de 2009 atualizados em 06/09/2020.
  Dados de 2010 atualizados em 04/11/2013.
  Dados de 2011 atualizados em 29/08/2014.
  Dados de 2012 atualizados em 01/06/2015.
  Dados de 2013 atualizados em 18/12/2017.
  Dados de 2014 atualizados em 17/12/2018.
  Dados de 2015 atualizados em 26/11/2018.
  Dados de 2016 a 2020 atualizados em 14/09/2020, dados sujeitos à revisão.
  Para os dados de 2020, considerar nas análises apenas as notificações feitas entre 01/01/2020 e 30/06/2020. Além deste período, os casos podem estar subnotificados (atraso na subida de dados do nível estadual para o nível federal)
		*Dados disponibilizados no TABNET em 13/10/2020.
 
